arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Mitwitz;Landkreis Kronach;651,32;70.063,00;r
Mixdorf;Landkreis Oder-Spree;2.211,53;176.547,00;r
Möckern;Landkreis Jerichower Land;2.021,83;103.142,00;r
Möckmühl;Landkreis Heilbronn;1.094,32;323.213,00;u
Mockrehna;Landkreis Nordsachsen;2.030,82;201.758,00;r
Modautal;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Modenbacherhof;Kreisfreie Stadt Landau in der Pfalz;67,76;44.445,00;u
Mödingen;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Moers;Kreis Wesel;1.042,61;462.014,00;u
Mogendorf;Landkreis Westerwaldkreis;896,44;189.443,00;u
Mögglingen;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Möglenz;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Möglingen;Landkreis Ludwigsburg;690,72;510.260,00;u
Mohlsdorf-Teichwolframsdorf;Landkreis Greiz;912,16;111.451,00;r
Möhnesee;Kreis Soest;1.327,65;297.431,00;u
Möhnsen;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Mohorn;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Möhrendorf;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Mohrenmühle;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Mohrkirch;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Moisall;Landkreis Rostock;3.367,72;219.050,00;r
Moisburg;Landkreis Harburg;1.487,02;257.782,00;u
Molauer Land;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Molbergen;Landkreis Cloppenburg;1.419,64;160.115,00;r
Molchow;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Molfsee;Kreisfreie Stadt Kiel;134,91;221.899,00;u
Möllenbeck;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Möllenhagen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Mölln;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Molsberg;Landkreis Westerwaldkreis;896,44;189.443,00;u
Molschleben;Landkreis Gotha;951,39;137.259,00;r
Mölschow;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Mölsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Moltenow;Landkreis Rostock;3.367,72;219.050,00;r
Moltkestein;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Moltow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Moltzow;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Molzhain;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mömbris;Landkreis Aschaffenburg;692,82;174.706,00;u
Mömlingen;Landkreis Miltenberg;748,95;132.364,00;u
Mommenheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Mönchberg;Landkreis Miltenberg;748,95;132.364,00;u
Mönchengladbach;Kreisfreie Stadt Mönchengladbach;170,45;255.298,00;u
Mönchgut;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Mönchhagen;Landkreis Rostock;3.367,72;219.050,00;r
Mönchpfiffel-Nikolausrieth;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Mönchsdeggingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Mönchshof;Landkreis Main-Tauber-Kreis;1.268,66;126.991,00;r
Mönchsroth;Landkreis Ansbach;1.970,53;178.778,00;r
Mönchweiler;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Monheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Monheim am Rhein;Kreis Mettmann;408,47;485.196,00;u
Mönkeberg;Kreis Plön;1.155,28;145.095,00;r
Mönkebude;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Mönkhagen;Kreis Stormarn;836,53;205.490,00;u
Mönkloh;Kreis Segeberg;1.443,50;269.392,00;u
Monreal;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Monschau;Kreis Städteregion Aachen;707,06;539.546,00;u
Monsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Mönsheim;Landkreis Enzkreis;573,07;191.389,00;u
Monstab;Landkreis Altenburger Land;569,64;97.003,00;u
Montabaur;Landkreis Westerwaldkreis;896,44;189.443,00;u
Möntenich;Landkreis Cochem-Zell;642,48;58.868,00;r
Montforterhof;Landkreis Bad Kreuznach;920,86;163.452,00;u
Monzelfeld;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Monzernheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Monzingen;Landkreis Bad Kreuznach;920,86;163.452,00;u
Moor;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Moordiek;Kreis Steinburg;972,59;127.718,00;r
Moorenweis;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Moorgrund;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Moorhusen;Kreis Steinburg;972,59;127.718,00;r
Moormerland;Landkreis Leer;1.066,74;164.663,00;u
Moorrege;Kreis Pinneberg;659,48;297.751,00;u
Moorweg;Landkreis Wittmund;661,98;57.286,00;r
Moos;Landkreis Deggendorf;862,07;114.830,00;r
Moosach;Landkreis Ebersberg;566,19;135.859,00;u
Moosbach;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Moosburg;Landkreis Biberach;1.438,69;199.051,00;r
Moosburg a.d.Isar;Landkreis Freising;796,78;161.475,00;u
Moosinning;Landkreis Erding;851,17;124.084,00;r
Moosmühle;Landkreis Freising;796,78;161.475,00;u
Moosthenning;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Mooswiese;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Moraas;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Morbach;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Mörel;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Morest;Kreis Ostholstein;1.325,41;188.322,00;r
Mörfelden-Walldorf;Landkreis Groß-Gerau;452,36;251.131,00;u
Moringen;Landkreis Northeim;1.268,17;137.761,00;r
Moritz;Landkreis Jerichower Land;2.021,83;103.142,00;r
Moritzburg;Landkreis Meißen;1.456,73;247.615,00;u
Moritzheim;Landkreis Cochem-Zell;642,48;58.868,00;r
Mörlen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mörlenbach;Landkreis Bergstraße;807,17;275.654,00;u
Mörnsheim;Landkreis Eichstätt;1.211,14;123.581,00;r
Morsbach;Kreis Oberbergischer Kreis;918,37;273.599,00;u
Mörsbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mörschbach;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Morscheid;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Morschen;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Morschheim;Landkreis Donnersbergkreis;705,66;80.477,00;r
Mörschied;Landkreis Birkenfeld;825,16;87.116,00;r
Mörsdorf;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Mörsfeld;Landkreis Donnersbergkreis;705,66;80.477,00;r
Morshausen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Mörstadt;Landkreis Alzey-Worms;591,37;125.821,00;u
Mörz;Landkreis Potsdam-Mittelmark;2.603,43;203.609,00;r
Mosbach;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Mosbruch;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Moschheim;Landkreis Westerwaldkreis;896,44;189.443,00;u
Mose;Landkreis Börde;3.099,16;203.092,00;r
Moselkern;Landkreis Cochem-Zell;642,48;58.868,00;r
Möser;Landkreis Jerichower Land;2.021,83;103.142,00;r
Mossautal;Landkreis Odenwaldkreis;623,44;96.763,00;u
Moßbach;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Mössingen;Landkreis Tübingen;517,04;211.984,00;u
Motrich;Landkreis Prignitz;1.671,97;70.727,00;r
Motten;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Möttingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Mötzing;Landkreis Regensburg;1.392,36;182.469,00;r
Mötzingen;Landkreis Böblingen;616,30;364.070,00;u
Moxa;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Mözen;Kreis Segeberg;1.443,50;269.392,00;u
Much;Kreis Rhein-Sieg-Kreis;1.152,60;578.890,00;u
Mucheln;Kreis Plön;1.155,28;145.095,00;r
Mücheln (Geiseltal);Landkreis Saalekreis;1.549,73;199.557,00;r
Muchelndorf;Kreis Steinburg;972,59;127.718,00;r
Muchow;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Mücka;Landkreis Görlitz;2.117,33;270.663,00;r
Mücke;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Mückeln;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Mückenfang;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Mückenhof;Landkreis Kaiserslautern;537,10;92.400,00;u
Mückenmühle;Landkreis Kaiserslautern;537,10;92.400,00;u
Mudau;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Müden (Aller);Landkreis Gifhorn;1.566,89;171.648,00;r
Müden (Mosel);Landkreis Cochem-Zell;642,48;58.868,00;r
Mudenbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mudersbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mudershausen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Mügeln;Landkreis Nordsachsen;2.030,82;201.758,00;r
Müggendorf;Landkreis Prignitz;1.671,97;70.727,00;r
Muggensturm;Landkreis Rastatt;740,00;222.539,00;u
Müglitz;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Müglitztal;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Mühbrook;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Mühl Rosin;Landkreis Rostock;3.367,72;219.050,00;r
Mühlacker;Landkreis Enzkreis;573,07;191.389,00;u
Mühlau;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Mühlberg;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Mühlbusch;Landkreis Donnersbergkreis;705,66;80.477,00;r
Mühldorf a. Inn;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Mühlen Eichsen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Mühlenbach;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Mühlenbarbek;Kreis Steinburg;972,59;127.718,00;r
Mühlenbeck;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Mühlenberge;Landkreis Havelland;1.644,35;154.033,00;r
Mühlenrade;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Mühlenthal;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mühlhausen;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Mühlhausen im Täle;Landkreis Göppingen;635,74;247.363,00;u
Mühlhausen/Thüringen;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Mühlhausen-Ehingen;Landkreis Konstanz;817,23;267.010,00;u
Mühlheim am Main;Landkreis Offenbach;355,86;332.373,00;u
Mühlheim an der Donau;Landkreis Tuttlingen;715,74;131.707,00;u
Mühlhölzle;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Mühlingen;Landkreis Konstanz;817,23;267.010,00;u
Mühlpfad;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Mühlpoint;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Mühlscheid;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Mühltal;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Mühltroff;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Mühlwand;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Muhr a. See;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Mülbach;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mulda;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Muldenhammer;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Muldestausee;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Mulfingen;Landkreis Hohenlohekreis;775,90;107.497,00;r
Mülheim an der Mosel;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Mülheim an der Ruhr;Kreisfreie Stadt Mülheim an der Ruhr;91,25;166.948,00;u
Mülheim-Kärlich;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Müllenbach;Landkreis Ahrweiler;816,76;129.806,00;u
Müllheim;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Müllrose;Landkreis Oder-Spree;2.211,53;176.547,00;r
Mülsen;Landkreis Zwickau;950,52;335.773,00;u
Münchberg;Landkreis Hof;885,37;99.647,00;r
Müncheberg;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Münchehofe;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
München;Kreisfreie Stadt München;310,90;1.348.403,00;u
Münchenbernsdorf;Landkreis Greiz;912,16;111.451,00;r
München-Flughafen;Landkreis Freising;796,78;161.475,00;u
Münchhausen;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Münchsmünster;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Münchsteinach;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Münchwald;Landkreis Bad Kreuznach;920,86;163.452,00;u
Münchweiler am Klingbach;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Münchweiler an der Alsenz;Landkreis Donnersbergkreis;705,66;80.477,00;r
Münchweiler an der Rodalb;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Mundelsheim;Landkreis Ludwigsburg;690,72;510.260,00;u
Munderkingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Mündersbach;Landkreis Westerwaldkreis;896,44;189.443,00;u
Mundhardterhof;Landkreis Bad Dürkheim;661,13;147.311,00;u
Münk;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Munkbrarup;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Münnerstadt;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Munningen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Münsing;Landkreis Bad Tölz-Wolfratshausen;1.129,24;119.328,00;r
Münsingen;Landkreis Reutlingen;1.093,24;273.540,00;u
Munster;Landkreis Heidekreis;1.624,73;118.316,00;r
Münster;Kreisfreie Stadt Münster;303,14;289.790,00;u
Münster (Hessen);Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Münsterappel;Landkreis Donnersbergkreis;705,66;80.477,00;r
Münsterdorf;Kreis Steinburg;972,59;127.718,00;r
Münsterhausen;Landkreis Günzburg;762,17;120.355,00;u
Münstermaifeld;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Münster-Sarmsheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Münstertal;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Münzenberg;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Murchin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Murg;Landkreis Waldshut;1.130,54;163.394,00;r
Mürlenbach;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Murnau a. Staffelsee;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Murr;Landkreis Ludwigsburg;690,72;510.260,00;u
Murrhardt;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Müsch;Landkreis Ahrweiler;816,76;129.806,00;u
Müschenbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Müssen;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Mustin;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Musweiler;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Mutlangen;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Muttenhaus;Landkreis Ravensburg;1.630,40;270.065,00;u
Mutterschied;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Mutterstadt;Landkreis Rhein-Pfalz-Kreis;305,83;146.892,00;u
Mützel;Landkreis Jerichower Land;2.021,83;103.142,00;r
Mützenich;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Muxerath;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mylau;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Nabburg;Landkreis Schwandorf;1.448,40;142.029,00;r
Nachrodt-Wiblingwerde;Kreis Märkischer Kreis;1.060,33;424.307,00;u
Nachterstedt;Landkreis Salzlandkreis;1.433,92;205.785,00;r
Nachtsheim;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Nack;Landkreis Alzey-Worms;591,37;125.821,00;u
Nackel;Landkreis Havelland;1.644,35;154.033,00;r
Nackenheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Nadrensee;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Nagel;Landkreis Wunsiedel i. Fichtelgebirge;598,88;76.220,00;r
Nagold;Landkreis Calw;796,74;151.273,00;u
Nagoldtal;Landkreis Calw;796,74;151.273,00;u
Nahe;Kreis Segeberg;1.443,50;269.392,00;u
Näherhof;Landkreis Göppingen;635,74;247.363,00;u
Nahrendorf;Landkreis Lüneburg;1.068,20;169.554,00;u
Naila;Landkreis Hof;885,37;99.647,00;r
Nakenstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Nalbach;Landkreis Saarlouis;459,43;198.109,00;u
Namborn;Landkreis St. Wendel;476,60;90.271,00;u
Nandlstadt;Landkreis Freising;796,78;161.475,00;u
Nannhausen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Nanzdietschweiler;Landkreis Kusel;507,89;69.094,00;r
Nasingen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Nassau;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Nassenfels;Landkreis Eichstätt;1.211,14;123.581,00;r
Nastätten;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Natendorf;Landkreis Uelzen;1.481,69;93.949,00;r
Nattenheim;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Nattheim;Landkreis Heidenheim;647,25;129.973,00;u
Naudin;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Nauen;Landkreis Havelland;1.644,35;154.033,00;r
Nauendorf;Landkreis Weimarer Land;813,31;87.083,00;r
Nauheim;Landkreis Groß-Gerau;452,36;251.131,00;u
Naumburg;Landkreis Kassel;1.290,55;235.145,00;u
Naumburg (Saale);Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Naundorf;Landkreis Bautzen;2.402,14;316.006,00;r
Naunheim;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Naunhof;Landkreis Leipzig;1.651,85;262.784,00;u
Nauort;Landkreis Westerwaldkreis;896,44;189.443,00;u
Naurath (Eifel);Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Naurath (Wald);Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Nauroth;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Nausnitz;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Nauwalde;Landkreis Meißen;1.456,73;247.615,00;u
Nazza;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Nebel;Kreis Nordfriesland;2.129,66;166.100,00;r
Nebelschütz;Landkreis Bautzen;2.402,14;316.006,00;r
Nebra (Unstrut);Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Neckarbischofsheim;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Neckargemünd;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Neckargerach;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Neckarsteinach;Landkreis Bergstraße;807,17;275.654,00;u
Neckarsulm;Landkreis Heilbronn;1.094,32;323.213,00;u
Neckartailfingen;Landkreis Esslingen;637,44;503.095,00;u
Neckartenzlingen;Landkreis Esslingen;637,44;503.095,00;u
Neckarwestheim;Landkreis Heilbronn;1.094,32;323.213,00;u
Neckarzimmern;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Neddemin;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Nedderhagen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Nedlitz;Landkreis Jerichower Land;2.021,83;103.142,00;r
Neef;Landkreis Cochem-Zell;642,48;58.868,00;r
Neenstetten;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Neese;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neese Ausbau;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neetze;Landkreis Lüneburg;1.068,20;169.554,00;u
Neetzka;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Neetzow-Liepen;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Negenborn;Landkreis Holzminden;693,50;73.651,00;r
Negenharrie;Kreis Plön;1.155,28;145.095,00;r
Negernbötel;Kreis Segeberg;1.443,50;269.392,00;u
Nehms;Kreis Segeberg;1.443,50;269.392,00;u
Nehmten;Kreis Segeberg;1.443,50;269.392,00;u
Nehren;Landkreis Cochem-Zell;642,48;58.868,00;r
Neichen;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Neidenbach;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Neidenfels;Landkreis Bad Dürkheim;661,13;147.311,00;u
Neidenstein;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Neidhof;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Neidlingen;Landkreis Esslingen;637,44;503.095,00;u
Neißeaue;Landkreis Görlitz;2.117,33;270.663,00;r
Neiße-Malxetal;Landkreis Spree-Neiße;1.662,10;123.136,00;r
Neißemünde;Landkreis Oder-Spree;2.211,53;176.547,00;r
Neitersen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Nellingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Nemsdorf-Göhrendorf;Landkreis Saalekreis;1.549,73;199.557,00;r
Nenndorf;Landkreis Wittmund;661,98;57.286,00;r
Nennhausen;Landkreis Stendal;2.679,48;119.034,00;r
Nennslingen;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Nentershausen;Landkreis Hersfeld-Rotenburg;1.096,37;120.869,00;r
Neperstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Nerdlen;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Nerenstetten;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Neresheim;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Neritz;Kreis Stormarn;836,53;205.490,00;u
Neroth;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Nersingen;Landkreis Neu-Ulm;571,23;180.170,00;u
Nerzweiler;Landkreis Kusel;507,89;69.094,00;r
Neschow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neschwitz;Landkreis Bautzen;2.402,14;316.006,00;r
Nesselwang;Landkreis Ostallgäu;1.393,01;133.904,00;r
Nessetal;Landkreis Gotha;951,39;137.259,00;r
Netphen;Kreis Siegen-Wittgenstein;1.136,59;277.233,00;u
Nettelsee;Kreis Plön;1.155,28;145.095,00;r
Nettemühle;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Nettersheim;Kreis Euskirchen;1.248,58;188.288,00;u
Nettetal;Kreis Viersen;563,34;296.528,00;u
Netzbach;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Netzeband;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Netzschkau;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Neu Asbach;Landkreis Heidenheim;647,25;129.973,00;u
Neu Babst;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Bleckede;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Boltenhagen;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Neu Darchau;Landkreis Lüchow-Dannenberg;1.227,98;49.463,00;r
Neu Degtow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Duvenstedt;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Neu Duvenstedt-Nord;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Neu Garge;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Glienicke;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Neu Gülze;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Hohenfelde;Landkreis Rostock;3.367,72;219.050,00;r
Neu Kaliß;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Karin;Landkreis Rostock;3.367,72;219.050,00;r
Neu Käterhagen;Landkreis Rostock;3.367,72;219.050,00;r
Neu Kosenow;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Neu Lutterow;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Neu Pastin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Pennewitt;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Poorstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Poserin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Rethwisch;Landkreis Rostock;3.367,72;219.050,00;r
Neu Runstedt;Landkreis Harz;2.113,76;239.545,00;r
Neu Saunstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Schloen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Neu Thurow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Viecheln;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Virneburg;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Neu Weitendorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Neu Wendischthun;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Neu Wulmstorf;Landkreis Harburg;1.487,02;257.782,00;u
Neu Zauche;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
